district,census_variable,value,rank
Albert Park,F_15_19_yr_Divorced_n,0.0,1.0
Ashwood,F_15_19_yr_Divorced_n,0.0,2.0
Bass,F_15_19_yr_Divorced_n,0.0,3.0
Bayswater,F_15_19_yr_Divorced_n,0.0,4.0
Bellarine,F_15_19_yr_Divorced_n,0.0,5.0
Benambra,F_15_19_yr_Divorced_n,0.0,6.0
Bendigo East,F_15_19_yr_Divorced_n,0.0,7.0
Bendigo West,F_15_19_yr_Divorced_n,0.0,8.0
Bentleigh,F_15_19_yr_Divorced_n,0.0,9.0
Berwick,F_15_19_yr_Divorced_n,0.0,10.0
Box Hill,F_15_19_yr_Divorced_n,0.0,11.0
Brighton,F_15_19_yr_Divorced_n,0.0,12.0
Broadmeadows,F_15_19_yr_Divorced_n,0.0,13.0
Brunswick,F_15_19_yr_Divorced_n,0.0,14.0
Bulleen,F_15_19_yr_Divorced_n,0.0,15.0
Bundoora,F_15_19_yr_Divorced_n,0.0,16.0
Carrum,F_15_19_yr_Divorced_n,0.0,17.0
Caulfield,F_15_19_yr_Divorced_n,0.0,18.0
Clarinda,F_15_19_yr_Divorced_n,0.0,19.0
Cranbourne,F_15_19_yr_Divorced_n,0.0,20.0
Croydon,F_15_19_yr_Divorced_n,0.0,21.0
Dandenong,F_15_19_yr_Divorced_n,0.0,22.0
Eildon,F_15_19_yr_Divorced_n,0.0,23.0
Eltham,F_15_19_yr_Divorced_n,0.0,24.0
Essendon,F_15_19_yr_Divorced_n,0.0,25.0
Eureka,F_15_19_yr_Divorced_n,0.0,26.0
Euroa,F_15_19_yr_Divorced_n,0.0,27.0
Evelyn,F_15_19_yr_Divorced_n,0.0,28.0
Footscray,F_15_19_yr_Divorced_n,0.0,29.0
Frankston,F_15_19_yr_Divorced_n,0.0,30.0
Geelong,F_15_19_yr_Divorced_n,0.0,31.0
Gippsland East,F_15_19_yr_Divorced_n,0.0,32.0
Gippsland South,F_15_19_yr_Divorced_n,0.0,33.0
Glen Waverley,F_15_19_yr_Divorced_n,0.0,34.0
Greenvale,F_15_19_yr_Divorced_n,0.0,35.0
Hastings,F_15_19_yr_Divorced_n,0.0,36.0
Hawthorn,F_15_19_yr_Divorced_n,0.0,37.0
Ivanhoe,F_15_19_yr_Divorced_n,0.0,38.0
Kalkallo,F_15_19_yr_Divorced_n,0.0,39.0
Kew,F_15_19_yr_Divorced_n,0.0,40.0
Kororoit,F_15_19_yr_Divorced_n,0.0,41.0
Lara,F_15_19_yr_Divorced_n,0.0,42.0
Laverton,F_15_19_yr_Divorced_n,0.0,43.0
Lowan,F_15_19_yr_Divorced_n,0.0,44.0
Macedon,F_15_19_yr_Divorced_n,0.0,45.0
Malvern,F_15_19_yr_Divorced_n,0.0,46.0
Melbourne,F_15_19_yr_Divorced_n,0.0,47.0
Melton,F_15_19_yr_Divorced_n,0.0,48.0
Mildura,F_15_19_yr_Divorced_n,0.0,49.0
Mill Park,F_15_19_yr_Divorced_n,0.0,50.0
Monbulk,F_15_19_yr_Divorced_n,0.0,51.0
Mordialloc,F_15_19_yr_Divorced_n,0.0,52.0
Mornington,F_15_19_yr_Divorced_n,0.0,53.0
Morwell,F_15_19_yr_Divorced_n,0.0,54.0
Mulgrave,F_15_19_yr_Divorced_n,0.0,55.0
Murray Plains,F_15_19_yr_Divorced_n,0.0,56.0
Narracan,F_15_19_yr_Divorced_n,0.0,57.0
Narre Warren North,F_15_19_yr_Divorced_n,0.0,58.0
Narre Warren South,F_15_19_yr_Divorced_n,0.0,59.0
Nepean,F_15_19_yr_Divorced_n,0.0,60.0
Niddrie,F_15_19_yr_Divorced_n,0.0,61.0
Northcote,F_15_19_yr_Divorced_n,0.0,62.0
Oakleigh,F_15_19_yr_Divorced_n,0.0,63.0
Ovens Valley,F_15_19_yr_Divorced_n,0.0,64.0
Pakenham,F_15_19_yr_Divorced_n,0.0,65.0
Pascoe Vale,F_15_19_yr_Divorced_n,0.0,66.0
Point Cook,F_15_19_yr_Divorced_n,0.0,67.0
Polwarth,F_15_19_yr_Divorced_n,0.0,68.0
Prahran,F_15_19_yr_Divorced_n,0.0,69.0
Preston,F_15_19_yr_Divorced_n,0.0,70.0
Richmond,F_15_19_yr_Divorced_n,0.0,71.0
Ringwood,F_15_19_yr_Divorced_n,0.0,72.0
Ripon,F_15_19_yr_Divorced_n,0.0,73.0
Rowville,F_15_19_yr_Divorced_n,0.0,74.0
Sandringham,F_15_19_yr_Divorced_n,0.0,75.0
Shepparton,F_15_19_yr_Divorced_n,0.0,76.0
South Barwon,F_15_19_yr_Divorced_n,0.0,77.0
South-West Coast,F_15_19_yr_Divorced_n,0.0,78.0
St Albans,F_15_19_yr_Divorced_n,0.0,79.0
Sunbury,F_15_19_yr_Divorced_n,0.0,80.0
Sydenham,F_15_19_yr_Divorced_n,0.0,81.0
Tarneit,F_15_19_yr_Divorced_n,0.0,82.0
Thomastown,F_15_19_yr_Divorced_n,0.0,83.0
Warrandyte,F_15_19_yr_Divorced_n,0.0,84.0
Wendouree,F_15_19_yr_Divorced_n,0.0,85.0
Werribee,F_15_19_yr_Divorced_n,0.0,86.0
Williamstown,F_15_19_yr_Divorced_n,0.0,87.0
Yan Yean,F_15_19_yr_Divorced_n,0.0,88.0
Albert Park,F_15_19_yr_Divorced_pc,0.0,1.0
Ashwood,F_15_19_yr_Divorced_pc,0.0,2.0
Bass,F_15_19_yr_Divorced_pc,0.0,3.0
Bayswater,F_15_19_yr_Divorced_pc,0.0,4.0
Bellarine,F_15_19_yr_Divorced_pc,0.0,5.0
Benambra,F_15_19_yr_Divorced_pc,0.0,6.0
Bendigo East,F_15_19_yr_Divorced_pc,0.0,7.0
Bendigo West,F_15_19_yr_Divorced_pc,0.0,8.0
Bentleigh,F_15_19_yr_Divorced_pc,0.0,9.0
Berwick,F_15_19_yr_Divorced_pc,0.0,10.0
Box Hill,F_15_19_yr_Divorced_pc,0.0,11.0
Brighton,F_15_19_yr_Divorced_pc,0.0,12.0
Broadmeadows,F_15_19_yr_Divorced_pc,0.0,13.0
